timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732356030213,1204,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2334,689,10,10,null,0,5032,776
1732356030400,970,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2278,689,10,10,null,0,5078,553
1732356030296,1058,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2332,689,10,10,null,0,5094,642
1732356030009,1371,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2341,689,10,10,null,0,5068,946
1732356035482,970,Homepage,200,OK,Thread Group 1-10,text,true,,2278,689,10,10,https://blazedemo.com/,969,0,553
1732356035249,1204,Homepage,200,OK,Thread Group 1-8,text,true,,2334,689,10,10,https://blazedemo.com/,1198,0,776
1732356035081,1371,Homepage,200,OK,Thread Group 1-6,text,true,,2341,689,10,10,https://blazedemo.com/,1366,0,946
1732356035394,1058,Homepage,200,OK,Thread Group 1-9,text,true,,2332,689,10,10,https://blazedemo.com/,1057,0,642
1732356030093,1358,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2227,689,10,10,null,0,5014,915
1732356035112,1358,Homepage,200,OK,Thread Group 1-7,text,true,,2227,689,10,10,https://blazedemo.com/,1341,0,915
1732356029576,1774,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2343,689,10,10,null,0,5116,1330
1732356034698,1774,Homepage,200,OK,Thread Group 1-1,text,true,,2343,689,10,10,https://blazedemo.com/,1773,0,1330
1732356029927,1526,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2165,689,10,10,null,0,5017,1074
1732356034949,1526,Homepage,200,OK,Thread Group 1-5,text,true,,2165,689,10,10,https://blazedemo.com/,1526,0,1074
1732356029813,1835,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,2213,689,10,10,null,0,5045,1264
